seller_id,total_transactions,successful_transactions,avg_rating,rating_count,refund_rate,complaint_count,account_age_days,late_delivery_rate,average_response_time_hours,inventory_count,price_variance_index,review_sentiment_score,fraud_flag_history,chargeback_rate,verification_status,success_rate,complaint_ratio,trust_label,trust_score
1083,4292,2196,2.57,2756,0.383,48,2423,0.13,54.65,6130,0.078,0.2,0,0.047,1,0.5116495806,0.01118359739,0,108.27
1084,3745,3339,4.1,3643,0.135,76,502,0.338,45.54,3508,0.506,-0.121,0,0.176,0,0.891588785,0.02029372497,0,125.96
1085,3502,575,2.87,3790,0.085,14,2753,0.183,38.51,3423,0.537,0.611,0,0.153,1,0.1641918903,0.003997715591,0,112.81
1086,964,964,2.89,2273,0.225,27,1833,0.241,25.48,5488,0.336,0.119,1,0.12,1,1,0.02800829876,0,120.56
1087,1358,1358,2.89,422,0.215,66,2005,0.284,56.66,5808,0.976,0.867,2,0.14,1,1,0.04860088365,0,125.56
1088,4227,1966,4.18,3814,0.236,86,2080,0.343,14.46,8107,0.557,0.036,2,0.083,0,0.4651052756,0.02034539863,0,115.56
1089,563,563,2.69,2437,0.139,3,954,0.03,3.59,215,0.889,0.775,2,0.075,1,1,0.005328596803,0,125.96
1090,1970,1970,2,1635,0.002,46,905,0.277,50.57,5390,0.57,0.041,0,0.032,0,1,0.02335025381,0,102.29
1091,3644,3644,4.15,241,0.014,49,1002,0.216,11.28,1819,0.19,0.116,3,0.161,0,1,0.0134467618,0,128.43
1092,4891,912,2.51,844,0.266,59,408,0.067,65.17,9101,0.975,-0.266,1,0.076,0,0.1864649356,0.01206297281,0,86.3
1093,1459,1459,2.31,267,0.209,61,1351,0.104,55.72,8949,0.885,-0.2,1,0.138,0,1,0.04180945853,0,100.1
1094,4852,900,2.71,3746,0.328,66,2215,0.442,43.76,6952,0.471,0.866,3,0.06,0,0.1854905194,0.01360263809,0,92.08
1095,4616,4616,3.14,1289,0.12,71,154,0.436,23.29,9963,0.243,-0.553,2,0.159,0,1,0.0153812825,0,104.82
1096,3240,3015,3.43,412,0.326,42,1455,0.017,46.29,2306,0.223,-0.757,4,0.021,1,0.9305555556,0.01296296296,0,114.22
1097,4541,895,2.13,2481,0.17,88,509,0.345,34.86,4938,0.806,0.66,3,0.125,1,0.1970931513,0.01937899141,0,94.24
1098,1605,1605,4.91,779,0.039,57,2647,0.277,21.67,9933,0.069,0.154,2,0.162,0,1,0.03551401869,0,141.22
1099,854,854,4.15,74,0.391,51,1415,0.47,68.1,5159,0.638,-0.431,0,0.132,1,1,0.05971896956,0,131.06
1100,1329,1329,2.97,2247,0.205,75,2143,0.454,12.49,4008,0.64,-0.135,3,0.139,1,1,0.05643340858,0,113.2
1101,3627,2274,2.96,3684,0.252,68,2929,0.29,54.49,5944,0.182,0.05,2,0.105,1,0.6269644334,0.01874827681,0,110.71
1102,2951,48,3.35,959,0.268,96,461,0.069,57.8,948,0.705,0.184,1,0.112,0,0.01626567265,0.03253134531,0,99.59
1103,1437,671,3.88,182,0.145,45,1988,0.23,68.58,5260,0.705,0.642,4,0.013,1,0.4669450244,0.03131524008,0,126.35
1104,4738,3113,2.44,2816,0.299,24,1142,0.363,40.01,4565,0.35,-0.211,4,0.05,0,0.657028282,0.005065428451,0,86.02
1105,2811,359,2.57,3849,0.348,24,630,0.476,38.98,6548,0.483,0.353,4,0.144,0,0.1277125578,0.008537886873,0,80.21
1106,2729,895,4.58,2685,0.155,34,885,0.182,66.34,7705,0.833,0.67,2,0.189,1,0.3279589593,0.01245877611,0,136.92
1107,2156,803,2.77,2618,0.263,60,2083,0.392,57.88,6566,0.523,0.688,2,0.108,0,0.3724489796,0.02782931354,0,97.93
1108,4273,4273,3.14,1260,0.303,14,187,0.342,55.22,2174,0.618,-0.492,0,0.145,1,1,0.003276386614,0,117.76
1109,4881,4762,4.61,3058,0.076,89,2407,0.039,57.03,5278,0.413,-0.3,4,0.137,1,0.9756197501,0.01823396845,0,139.76
1110,2818,2384,3.99,3662,0.133,73,1156,0.279,36.02,6262,0.15,0.19,1,0.2,1,0.8459900639,0.02590489709,0,134.88
1111,4003,3368,3.03,1421,0.044,87,252,0.092,3.94,6131,0.998,0.772,4,0.159,0,0.8413689733,0.02173369973,0,113.83
1112,3236,3236,4.05,2458,0.241,34,2479,0.342,15.08,2883,0.532,0.581,3,0.126,0,1,0.01050679852,0,127.26
1113,3330,2972,2.06,647,0.32,28,1736,0.305,46.65,1460,0.336,0.168,3,0.023,1,0.8924924925,0.008408408408,0,101.35
1114,2623,2597,4.21,958,0.244,37,574,0.487,29.13,5115,0.714,0.967,1,0.073,0,0.9900876859,0.01410598551,0,136.36
1115,4666,1704,3.46,2270,0.072,68,2586,0.468,44.08,5646,0.621,-0.122,2,0.05,1,0.3651950279,0.0145735105,0,112.72
1116,2649,2649,4.44,2110,0.219,23,2261,0.005,40.17,1213,0.233,0.685,4,0.171,1,1,0.008682521706,0,145.4
1117,4083,3410,4.86,2681,0.334,18,2992,0.04,32.14,7062,0.877,0.637,3,0.089,1,0.835170218,0.004408523145,0,148.67
1118,286,286,4.78,1704,0.121,45,2658,0.385,17.67,4501,0.071,0.816,1,0.107,0,1,0.1573426573,0,146.12
1119,1354,1354,4.73,761,0.333,48,567,0.343,52.05,3034,0.606,0.975,0,0.193,1,1,0.03545051699,0,155.34
1120,3480,3480,3.54,671,0.314,43,1466,0.4,65.54,6154,0.478,-0.009,3,0.167,0,1,0.01235632184,0,111.63
1121,1351,1351,3.08,2196,0.009,72,2595,0.133,55.67,2065,0.318,-0.609,3,0.158,1,1,0.0532938564,0,116.06
1122,2591,1165,3.4,2475,0.096,25,2845,0.425,9.52,2201,0.826,-0.078,4,0.028,1,0.4496333462,0.009648784253,0,110.24
1123,2101,903,4.07,3706,0.217,24,2372,0.221,39.19,9880,0.656,0.708,2,0.005,1,0.4297953356,0.01142313184,0,132.21
1124,491,491,4.65,152,0.287,34,289,0.131,60.31,7842,0.759,0.672,3,0.025,1,1,0.06924643585,0,149.6
1125,2126,2126,2.62,1915,0.352,35,855,0.005,42.96,9867,0.415,-0.328,3,0.148,1,1,0.01646284102,0,108.21
1126,3230,781,4.75,2566,0.256,13,345,0.436,32.21,4738,0.942,-0.905,4,0.082,1,0.2417956656,0.004024767802,0,115.02
1127,2707,883,4.45,2707,0.152,55,775,0.268,21.2,5700,0.345,0.02,2,0.023,1,0.3261913557,0.02031769487,0,129.28
1128,3848,3762,4.94,495,0.074,5,748,0.488,24.46,4834,0.531,-0.052,0,0.148,0,0.9776507277,0.001299376299,0,140.66
1129,854,854,4.64,1001,0.304,31,1130,0.357,18.19,3021,0.934,-0.828,0,0.039,1,1,0.03629976581,0,137.8
1130,124,124,2.84,1470,0.083,25,2757,0.04,14.9,7629,0.083,0.59,0,0.118,1,1,0.2016129032,0,130.67
1131,2225,507,2.32,3897,0.278,14,2931,0.294,42.81,8445,0.109,-0.433,0,0.148,1,0.2278651685,0.006292134831,0,91.44
1132,3974,2756,2.34,2600,0.072,48,490,0.009,37.17,8341,0.994,0.292,2,0.122,1,0.6935078007,0.01207851032,0,110.5
1133,2139,2139,2.87,302,0.036,94,2884,0.279,53.17,2458,0.971,-0.797,0,0.199,1,1,0.04394576905,0,114.76
1134,90,90,3.84,1653,0.1,55,1134,0.175,22.86,734,0.772,0.721,4,0.087,1,1,0.6111111111,0,137.69
1135,2131,2131,4.41,3365,0.114,36,1732,0.322,33.72,9766,0.484,0.479,4,0.062,1,1,0.01689347724,0,142.39
1136,4733,1299,4.7,2728,0.259,52,2870,0.271,49.31,113,0.506,-0.223,4,0.04,1,0.2744559476,0.0109866892,0,123.76
1137,1672,1672,3.87,847,0.064,57,1436,0.131,69.39,4057,0.257,0.259,0,0.101,0,1,0.03409090909,0,132.36
1138,391,391,2.02,1047,0.372,82,2226,0.081,25.77,72,0.433,-0.625,4,0.17,1,1,0.2097186701,0,92.96
1139,4102,1499,2.56,2691,0.222,77,2845,0.202,22.17,2072,0.431,0.971,4,0.189,0,0.3654314968,0.01877133106,0,95.18
1140,2124,407,2.3,1760,0.196,35,2422,0.493,32.9,3575,0.036,0.592,1,0.194,0,0.1916195857,0.01647834275,0,87.44
1141,695,695,3.09,281,0.174,10,1843,0.218,52.4,9748,0.453,0.578,0,0.106,0,1,0.01438848921,0,121.28
1142,4876,271,3.5,1058,0.227,26,1844,0.374,69.27,6594,0.48,-0.693,4,0.121,0,0.0555783429,0.005332239541,0,85.33
1143,4313,949,2.13,1968,0.009,1,1771,0.028,39.09,6678,0.666,-0.965,2,0.116,1,0.22003246,0.000231857176,0,86.13
1144,659,99,3.05,2379,0.396,21,1003,0.189,58.68,4832,0.516,0.171,4,0.093,1,0.1502276176,0.03186646434,0,98.7
1145,504,504,2.54,815,0.223,65,951,0.29,33.97,4843,0.862,-0.712,1,0.03,0,1,0.128968254,0,97.43
1146,3003,2116,3.94,1714,0.014,83,59,0.376,3.83,3656,0.368,0.561,2,0.013,1,0.7046287046,0.02763902764,0,135.7
1147,1758,1758,3.39,3184,0.236,16,2807,0.264,64.49,9992,0.41,-0.168,2,0.087,0,1,0.009101251422,0,113.12
1148,3522,830,3.49,1899,0.175,3,1011,0.258,21.58,139,0.571,-0.323,3,0.037,0,0.2356615559,0.0008517887564,0,97.26
1149,3019,2809,3.28,892,0.01,13,260,0.382,10.85,3025,0.203,-0.853,1,0.177,0,0.9304405432,0.00430606161,0,106.54
1150,3078,785,4.87,3121,0.37,6,1215,0.157,71.73,7679,0.393,0.992,1,0.152,0,0.2550357375,0.001949317739,0,132.43
1151,4847,2025,2.64,2292,0.004,78,2806,0.045,25.67,5300,0.686,0.912,4,0.124,0,0.4177841964,0.01609242831,0,102.33
1152,2731,1351,3.55,841,0.231,93,1281,0.174,10.69,936,0.412,-0.737,1,0.009,1,0.4946905895,0.03405346027,0,113.48
1153,3679,2360,4.21,1122,0.385,15,1274,0.079,23.12,1990,0.907,-0.334,2,0.124,0,0.6414786627,0.00407719489,0,115.83
1154,4275,139,3.67,3181,0.095,65,2823,0.483,37.48,5535,0.615,-0.218,2,0.124,1,0.03251461988,0.01520467836,0,107.03
1155,3117,1046,4.79,2201,0.102,18,1126,0.289,7.24,9927,0.154,-0.406,4,0.088,0,0.3355790825,0.005774783446,0,116.2
1156,1436,1436,3.13,2050,0,0,428,0.223,26.04,1829,0.487,0.869,2,0.132,0,1,0,0,123.09
1157,3826,54,3.39,1115,0.027,30,124,0.456,48.49,5117,0.765,0.443,4,0.172,0,0.01411395714,0.007841087297,0,95.88
1158,2916,2868,2.27,2646,0.018,3,1993,0.45,66.03,4793,0.643,0.912,3,0.152,1,0.9835390947,0.001028806584,0,115.55
1159,4838,767,3.83,1604,0.329,90,504,0.208,29.22,2905,0.885,0.749,1,0.095,1,0.1585365854,0.0186027284,0,123.15
1160,3413,209,2.86,2286,0.335,57,1959,0.437,41.08,1766,0.75,0.509,1,0.052,1,0.06123644887,0.01670084969,0,102.3
1161,4939,261,2.48,1636,0.291,55,1808,0.032,46.16,2337,0.062,0.394,1,0.096,0,0.05284470541,0.01113585746,0,89.55
1162,4174,1947,3.63,1899,0.141,52,804,0.443,6.02,3206,0.113,0.732,3,0.189,1,0.4664590321,0.01245807379,0,121.66
1163,198,198,3.6,3476,0.329,88,1177,0.155,25.3,3663,0.65,0.368,1,0.164,0,1,0.4444444444,0,122.56
1164,3900,3900,2.23,3594,0.216,85,2877,0.283,49.58,6264,0.238,-0.623,3,0.005,1,1,0.02179487179,0,100.1
1165,2108,2108,4.09,1814,0.122,42,1553,0.135,53.23,4269,0.588,0.296,3,0.157,0,1,0.01992409867,0,128.56
1166,1186,484,3.87,3879,0.175,73,650,0.492,26.27,424,0.792,0.03,4,0.034,1,0.4080944351,0.06155143339,0,115.63
1167,236,236,2.57,1230,0.026,96,2937,0.036,1.48,6347,0.577,0.964,0,0.114,0,1,0.406779661,0,121.3
1168,2904,2904,3.41,283,0.378,48,993,0.223,1.49,8156,0.415,0.02,0,0.161,1,1,0.01652892562,0,126.84
1169,1300,1300,4.16,599,0.248,59,2890,0.31,39.21,2880,0.646,-0.923,4,0.112,0,1,0.04538461538,0,112.23
1170,1383,625,3.59,2710,0.292,93,2172,0.308,40.16,9224,0.144,-0.472,4,0.081,0,0.4519161244,0.06724511931,0,96.9
1171,4243,3904,3.19,3881,0.271,93,1530,0.369,40.46,6262,0.723,0.835,4,0.064,1,0.9201037002,0.02191845392,0,123.21
1172,4200,4200,2.97,592,0.267,15,2110,0.362,52.24,408,0.697,0.925,1,0.061,1,1,0.003571428571,0,128.56
1173,2761,2761,3.83,977,0.007,72,1356,0.397,66.41,3980,0.514,0.457,2,0.167,1,1,0.02607750815,0,137.27
1174,4903,2699,4.82,3643,0.21,80,151,0.117,71.3,8330,0.279,-0.886,4,0.165,1,0.5504792984,0.01631654089,0,125.48
1175,4551,2165,4.02,2000,0.329,98,247,0.185,50.78,9734,0.798,-0.953,3,0.165,0,0.4757196221,0.02153372885,0,100.85
1176,1835,1835,2.22,2429,0.018,59,1106,0.191,37.49,6580,0.511,-0.041,0,0.057,0,1,0.03215258856,0,105.14
1177,800,800,3.38,3962,0.382,46,1212,0.478,11.01,1060,0.059,0.999,1,0.16,1,1,0.0575,0,131.58
1178,1812,338,4.67,3161,0.17,14,1724,0.205,28.28,2962,0.919,0.739,2,0.007,0,0.1865342163,0.007726269316,0,127.5
1179,3970,372,2.28,1268,0.116,62,824,0.111,41.64,353,0.768,0.866,0,0.041,1,0.09370277078,0.01561712846,0,106.47
1180,4510,465,4.97,1320,0.213,27,1654,0.316,71.99,9626,0.585,0.247,0,0.103,1,0.1031042129,0.005986696231,0,136.7
1181,531,206,4.85,2876,0.32,19,205,0.214,10.02,613,0.437,0.718,0,0.081,0,0.3879472693,0.03578154426,0,134.94
1182,203,168,2.23,3748,0.19,96,321,0.125,57.31,9792,0.96,-0.361,3,0.022,1,0.8275862069,0.4729064039,0,101.07
1183,1574,223,4.8,581,0.258,62,520,0.358,71.92,7046,0.775,-0.945,3,0.008,1,0.1416772554,0.03939008895,0,116.85
1184,2170,2170,3.09,554,0.2,32,2838,0.096,58.18,4838,0.535,0.837,3,0.122,0,1,0.01474654378,0,118.54
1185,2393,2393,4.53,1470,0.253,35,663,0.317,55.47,5942,0.653,-0.563,2,0.063,1,1,0.01462599248,0,135.73
1186,1290,972,3.26,136,0.055,12,1290,0.215,19.37,4261,0.281,0.457,0,0.003,0,0.7534883721,0.009302325581,0,120.53
1187,110,110,3.32,742,0.015,61,2202,0.16,1.24,6593,0.196,0.318,4,0.086,1,1,0.5545454545,0,127.3
1188,988,988,3.9,3793,0.055,67,1920,0.473,17.05,2158,0.273,-0.684,2,0.061,0,1,0.06781376518,0,116.49
1189,1689,1689,4.32,426,0.114,22,633,0.162,57.08,6054,0.293,-0.608,3,0.115,1,1,0.01302545885,0,133.24
1190,4170,2992,2.1,647,0.101,71,1158,0.174,8.62,757,0.74,-0.342,3,0.186,0,0.7175059952,0.0170263789,0,86.32
1191,4276,983,3.78,50,0.246,12,1095,0.435,22.02,8701,0.14,0.514,3,0.062,1,0.2298877456,0.002806361085,0,116.78
1192,3619,1332,2.56,796,0.182,87,1694,0.065,40.94,3366,0.778,-0.922,1,0.199,0,0.3680574744,0.02403979,0,84.17
1193,1302,1302,3.04,3550,0.016,39,1513,0.054,42.17,5198,0.523,-0.186,0,0.017,1,1,0.02995391705,0,127.79
1194,4253,2910,3.04,306,0.014,29,520,0.141,39.55,5908,0.385,0.33,4,0.018,1,0.6842229015,0.0068187162,0,117.78
1195,221,221,3.41,1630,0.036,93,594,0.296,70.64,395,0.3,-0.657,0,0.143,1,1,0.4208144796,0,124.65
1196,1508,575,3,3682,0.141,24,197,0.192,1.87,4243,0.513,-0.761,2,0.15,0,0.3812997347,0.01591511936,0,90.48
1197,3599,1957,2.32,51,0.002,96,788,0.304,35.62,6256,0.318,-0.22,1,0.085,0,0.5437621562,0.02667407613,0,92.56
1198,4247,4182,2.44,2689,0.198,72,1227,0.08,36.81,1745,0.429,-0.427,2,0.057,0,0.9846950789,0.0169531434,0,98.68
1199,2372,34,2.1,3360,0.144,25,1934,0.131,21.83,2567,0.739,0.298,3,0.159,1,0.01433389545,0.01053962901,0,88.71
1200,1686,1686,3.41,3540,0.222,23,1203,0.283,38.28,4832,0.626,0.939,3,0.191,1,1,0.01364175563,0,131.47
1201,3165,3165,4.86,42,0.288,96,2326,0.109,48.8,1188,0.748,-0.991,4,0.198,0,1,0.03033175355,0,122.6
1202,4140,1392,2.35,1309,0.1,38,1680,0.211,48.77,889,0.713,0.805,0,0.127,0,0.3362318841,0.009178743961,0,100.14
1203,3054,1850,4.84,2722,0.063,88,209,0.286,7.24,1515,0.815,-0.134,2,0.148,0,0.6057629339,0.02881466929,0,129.09
1204,379,379,4.2,3171,0.111,78,57,0.487,57.97,5338,0.202,0.328,3,0.164,0,1,0.2058047493,0,127.1
1205,3690,2968,3.91,625,0.001,60,1874,0.04,67.08,1016,0.995,0.702,4,0.16,1,0.8043360434,0.0162601626,0,136.74
1206,3944,1303,3.94,957,0.048,48,2194,0.23,9.78,5307,0.476,0.147,4,0.199,0,0.3303752535,0.0121703854,0,109.17
1207,4157,3356,4.48,1557,0.3,40,2780,0.198,30.58,3667,0.718,-0.805,2,0.162,1,0.8073129661,0.009622323791,0,128.2
1208,1391,1391,2.32,169,0.089,69,2734,0.412,37.33,5119,0.678,-0.719,0,0.133,1,1,0.04960460101,0,105.82
1209,3713,2975,3.51,1962,0.398,19,2909,0.45,10.57,282,0.566,0.579,1,0.075,0,0.8012388904,0.005117155939,0,116.24
1210,265,265,4.09,2515,0.067,43,291,0.454,36.74,2905,0.996,-0.542,4,0.12,0,1,0.1622641509,0,116.18
1211,388,388,3.76,1741,0.316,15,2703,0.188,15.69,3105,0.217,0.138,2,0.176,1,1,0.03865979381,0,130.4
1212,4112,4112,4.5,2456,0.282,20,2862,0.152,67.41,1616,0.422,-0.144,3,0.061,0,1,0.00486381323,0,128.7
1213,2758,2666,2.22,1852,0.129,14,226,0.225,32.84,2457,0.128,-0.393,1,0.006,0,0.9666424946,0.005076142132,0,97.46
1214,3202,3059,4.07,1807,0.132,38,1490,0.172,71.64,6506,0.182,0.574,1,0.065,0,0.9553404122,0.01186758276,0,134.55
1215,1800,1800,3.6,3172,0.225,41,2761,0.359,4.3,1334,0.713,0.462,0,0.192,1,1,0.02277777778,0,134.74
1216,2471,2471,3.14,1742,0.341,60,1692,0.107,10.06,3912,0.005,0.292,2,0.159,0,1,0.02428166734,0,113.24
1217,759,759,3.02,590,0.154,3,2951,0.329,32.47,7220,0.89,-0.255,0,0.037,1,1,0.00395256917,0,121.78
1218,3776,283,3.86,3547,0.024,23,1463,0.463,63.08,3132,0.633,-0.547,4,0.002,0,0.0749470339,0.006091101695,0,95.92
1219,3692,358,4.67,229,0.15,2,362,0.14,40.42,4876,0.441,0.032,4,0.134,1,0.09696641387,0.0005417118093,0,124.32
1220,4043,2621,3.49,3500,0.083,0,2797,0.338,53,1739,0.331,0.634,2,0.116,1,0.6482809795,0,0,126.87
1221,538,538,4.47,388,0.376,93,1211,0.072,31.07,5364,0.126,0.151,3,0.017,0,1,0.1728624535,0,131.03
1222,96,96,3.21,1759,0.279,12,1805,0.061,3.88,4595,0.922,0.94,4,0.193,0,1,0.125,0,117.82
1223,3409,1450,2.31,2987,0.02,53,108,0.058,46.99,2732,0.712,-0.969,4,0.124,0,0.4253446759,0.01554708126,0,78.35
1224,4923,3431,2.18,1480,0.117,81,1897,0.069,46.01,4686,0.336,0.997,3,0.13,0,0.6969327646,0.01645338208,0,101.86
1225,4856,2922,2.15,973,0.02,39,1922,0.108,6.07,2904,0.071,0.383,1,0.171,0,0.6017298188,0.008031301483,0,98.02
1226,450,450,3.14,1179,0.332,10,226,0.281,13.13,7658,0.326,0.665,2,0.067,1,1,0.02222222222,0,126.29
1227,4040,789,3.01,242,0.363,41,1813,0.383,34.81,1971,0.185,-0.33,1,0.112,1,0.1952970297,0.01014851485,0,98.36
1228,3207,1828,4.15,1404,0.045,92,255,0.063,32.71,6578,0.786,0.017,0,0.115,1,0.5700031182,0.02868724665,0,136.37
1229,4395,3001,4.23,931,0.176,3,2672,0.435,54.42,4872,0.72,0.594,3,0.193,0,0.6828213879,0.0006825938567,0,123.13
1230,440,440,2.15,2291,0.373,24,1591,0.421,28.51,2685,0.498,0.521,2,0.026,1,1,0.05454545455,0,108.39
1231,3903,3456,2.66,2783,0.058,99,2990,0.364,48.09,1949,0.886,-0.332,3,0.152,1,0.8854727133,0.02536510377,0,107.26
1232,4480,284,2.82,376,0.117,35,764,0.213,51.01,23,0.181,-0.351,3,0.115,0,0.06339285714,0.0078125,0,84.02
1233,678,678,3.64,490,0.122,63,1392,0.001,46.8,755,0.452,0.326,1,0.169,0,1,0.09292035398,0,127.33
1234,4282,1906,2.43,1606,0.012,43,1609,0.367,43.32,8172,0.711,0.867,1,0.166,0,0.4451191032,0.01004203643,0,101.51
1235,2980,2787,2.4,3444,0.015,39,1649,0.439,58.2,4580,0.068,-0.122,0,0.002,0,0.9352348993,0.01308724832,0,103.85
1236,1571,1571,4.83,2647,0.381,91,2072,0.168,47.65,7719,0.373,-0.294,2,0.051,0,1,0.05792488861,0,132.61
1237,876,876,4.41,3592,0.228,44,2996,0.359,60.23,2956,0.572,0.789,3,0.036,0,1,0.0502283105,0,135.67
1238,4872,3034,2.54,1128,0.123,7,2614,0.031,46.2,3192,0.367,0.366,0,0.092,1,0.6227422003,0.001436781609,0,116.14
1239,1550,1550,3.22,1875,0.151,84,249,0.355,12.29,3496,0.48,-0.223,3,0.181,0,1,0.05419354839,0,107.44
1240,3344,3344,3.07,2044,0.286,34,2370,0.034,22.97,6574,0.608,-0.885,0,0.001,1,1,0.01016746411,0,117.56
1241,2469,1274,4.37,225,0.147,43,1257,0.294,24.46,4516,0.368,0.443,3,0.098,1,0.5159983799,0.01741595788,0,133.17
1242,984,984,3.53,734,0.091,17,1758,0.299,7.67,4088,0.106,-0.294,1,0.177,1,1,0.01727642276,0,126.88
1243,3092,3092,2.38,1849,0.041,46,231,0.151,50.15,1917,0.139,-0.859,4,0.185,1,1,0.0148771022,0,100.14
1244,4547,1540,4.22,721,0.292,24,1919,0.04,43.25,4001,0.527,0.225,0,0.131,1,0.3386848472,0.00527820541,0,131.23
1245,1516,1516,3.19,1897,0.072,40,2109,0.475,42.87,1657,0.175,-0.354,0,0.166,0,1,0.02638522427,0,111.82
1246,3611,2538,2.79,3624,0.028,4,1743,0.268,34.97,4786,0.89,-0.323,4,0.065,0,0.7028523955,0.001107726392,0,95.93
1247,664,664,3.13,1835,0.171,63,2793,0.29,39.56,2673,0.834,-0.042,1,0.057,1,1,0.09487951807,0,123.49
1248,1232,1232,3.49,3936,0.016,61,782,0.308,1.57,8137,0.349,0.435,0,0.01,0,1,0.04951298701,0,128.28
1249,3273,1019,3.03,994,0.386,71,1046,0.446,7.83,1892,0.831,-0.447,1,0.101,0,0.3113351665,0.02169263672,0,88.95
1250,2717,2717,2.73,1168,0.251,86,144,0.03,49.52,338,0.533,-0.838,3,0.091,0,1,0.03165255797,0,96.6
1251,180,180,3.2,1116,0.061,2,2799,0.447,19.56,4377,0.159,-0.151,3,0.074,1,1,0.01111111111,0,119.36
1252,3033,3033,2.06,400,0.069,36,1275,0.12,8.66,4727,0.614,-0.89,4,0.023,1,1,0.0118694362,0,96.54
1253,4328,4328,4.32,1080,0.228,94,2259,0.039,24.33,9889,0.679,0.395,2,0.046,0,1,0.02171903882,0,135.48
1254,4509,4482,2.51,401,0.143,92,2848,0.329,19.07,5610,0.084,0.918,1,0.041,1,0.994011976,0.02040363717,0,123.87
1255,88,88,2.13,2775,0.31,40,498,0.488,3.09,2176,0.314,0.318,2,0.189,1,1,0.4545454545,0,104.71
1256,4009,1037,3.96,394,0.218,19,455,0.029,30.15,391,0.005,-0.449,2,0.193,0,0.258667997,0.004739336493,0,105.59
1257,3637,1785,4.32,2438,0.173,66,1605,0.213,2.92,9635,0.316,-0.637,1,0.001,0,0.4907891119,0.01814682431,0,116.51
1258,970,970,4.44,3158,0.385,86,1895,0.265,1.03,4154,0.335,-0.534,2,0.034,0,1,0.08865979381,0,123.49
1259,2819,2819,3.48,1292,0.156,39,863,0.126,57.27,3891,0.63,-0.557,0,0.178,0,1,0.01383469315,0,116.25
1260,4161,3027,2.62,2661,0.16,84,2058,0.491,23.36,8118,0.199,-0.372,3,0.008,1,0.7274693583,0.02018745494,0,101.74
1261,542,542,4.21,943,0.266,76,2562,0.32,41.3,6757,0.03,-0.805,4,0.189,0,1,0.1402214022,0,113.02
1262,1181,1181,4.1,1980,0.324,7,40,0.422,22.14,2209,0.316,0.791,1,0.076,1,1,0.005927180356,0,142.57
1263,3571,3571,2.74,408,0.25,4,1438,0.208,67.03,3542,0.826,0.77,4,0.108,0,1,0.001120134416,0,108.89
1264,360,360,4.71,2157,0.279,24,2119,0.177,52.77,2739,0.399,0.23,3,0.153,0,1,0.06666666667,0,134.46
1265,788,128,2.31,3582,0.149,38,1755,0.277,27.21,8797,0.415,-0.876,4,0.049,1,0.1624365482,0.04822335025,0,80.64
1266,3291,226,4.95,392,0.192,36,2200,0.218,15.95,8048,0.469,0.608,1,0.02,0,0.06867213613,0.01093892434,0,129.44
1267,595,595,4.58,2764,0.079,4,2778,0.357,10.78,3920,0.752,-0.876,4,0.162,0,1,0.006722689076,0,120.56
1268,2511,907,4.06,3273,0.272,7,2329,0.133,55.13,3506,0.48,-0.787,2,0.197,0,0.361210673,0.002787733971,0,103.87
1269,4396,1898,4.82,3661,0.089,3,1002,0.225,33.17,7512,0.091,-0.349,2,0.132,0,0.4317561419,0.0006824385805,0,123.54
1270,4904,2695,4.17,3982,0.001,40,633,0.448,17.47,3810,0.206,-0.137,3,0.165,0,0.5495513866,0.008156606852,0,115.03
1271,1854,1418,2.57,3835,0.374,59,242,0.378,66.29,8172,0.188,-0.292,2,0.188,0,0.764832794,0.03182308522,0,90.66
1272,3262,2445,3.33,3683,0.122,53,2345,0.084,28.7,2646,0.508,-0.67,4,0.046,0,0.7495401594,0.0162477008,0,102.11
1273,3860,599,2.21,3426,0.079,21,2784,0.443,39.59,2833,0.03,-0.776,0,0.07,1,0.1551813472,0.005440414508,0,87.18
1274,863,863,3.17,2067,0.107,77,569,0.295,61.9,1502,0.284,0.719,4,0.044,0,1,0.08922363847,0,116.74
1275,4174,1095,4.22,2321,0.132,18,735,0.34,60.17,3326,0.607,-0.274,0,0.012,1,0.2623382846,0.004312410158,0,125.31
1276,2082,451,3.16,3349,0.19,76,1788,0.147,46.29,6785,0.355,-0.563,4,0.146,0,0.2166186359,0.03650336215,0,87.32
1277,4622,2913,2.99,2889,0.028,98,2696,0.221,64.09,3912,0.708,-0.026,0,0.029,1,0.6302466465,0.02120294245,0,119.27
1278,4463,1234,3.79,2687,0.021,67,1714,0.403,68.6,4947,0.391,-0.926,0,0.019,1,0.2764956307,0.01501232355,0,113.58
1279,294,294,4.62,2819,0.117,32,1188,0.165,67.39,7427,0.979,0.201,1,0.072,1,1,0.1088435374,0,150.18
1280,4893,4196,2.14,3652,0.118,21,527,0.083,25.78,4594,0.965,-0.503,1,0.012,0,0.8575516043,0.004291845494,0,94.5
1281,4842,3669,3.16,2252,0.047,64,811,0.189,29.2,6404,0.8,0.196,4,0.036,0,0.7577447336,0.01321767865,0,108.56
1282,321,321,2.47,2619,0.162,10,1939,0.035,18.08,8182,0.954,0.228,2,0.014,1,1,0.03115264798,0,117.41
1283,3561,3202,4.09,1440,0.114,15,155,0.359,60.41,6467,0.205,0.618,1,0.175,1,0.899185622,0.004212299916,0,141.46
